,0
0,udah klop banget ngga disandingkan aja hehehe
1,sukses inovasi digagas kang emil
2,menghanyutkan
3,kejutan
4,mantabb
5,terimakasih bu atalia
6,kemarin sukses santri mandiri petjani milenial
7,pasangan pemimpin mencintai rakyatnya
8,surplus hasil tani
9,mesra abang
10,wajib dibaca dicermait
11,aamiin
12,aman banget
13,syukurdeh semoga lekas membaik
14,alhamdullilah
15,so far away
16,aman banget
17,acungi jari manis
18,banget
19,hayoooloooh
20,kerensekaliih
21,banget nih
22,sip banget
23,semoga efektif
24,cakep banget deh
25,juara
26,kedepannya heheh
27,mantoel
28,sekaaleeee
29,terp ang
30,ngga ragu
31,bangga sekalee
32,sekaleee
33,ayooo dukung
34,ayooo semangat
35,buktikan ngga percaya wkwkwk
36,valid pokoknya kwkwkw
37,keren sekalii kang emil
38,woowww keren
39,populer pilihannya
40,kalo gabung golkar bersinar
41,aplus
42,favorit rakyat
43,maju
44,gub
45,go
46,hebatnya kang
47,krek
48,semoga berkahaamiin
49,pilihlah
50,dilirik
51,ga lelah bu cinta makasih bu cinta
52,jarang diangkat nih semoga efektif satgasnya
53,aknya deh
54,anak anak penyintas gempa bumi cianjur riang
55,mendekati capres harapan
56,pusatnya dilaut aman garut
57,aknya mah
58,pelan puncak
59,gempa garut gempa cianjur so far aman
60,nggak pilih kang rugi loh
61,banyk kejutan terjai
62,kang
63,hebat jabar dibawah kepemimpinan kang
64,tuh kandidat terkuat
65,yuhh
66,tuh
67,be carefullah pokoknya
68,jabar oke
69,suipp
70,yuhuuu
71,indonesia maju
72,mantab melangkah
73,roger gub
74,semoga simbiosis mutualisme
75,kang
76,kejutan mengejutkan
77,wahhhternyata jabar tambangnya
78,mantab kang
79,terfavorit
80,good progress kang
81,elektabilitas meroket
82,mantab
83,suka
84,perebutan nih emang kang emil layak perebutkan sih wakil
85,perebutan nih emang kang emil layak perebutkan sih wakil
86,sungguh berterima kasih bu menyempatkan berdongen anak anak korban bencana gempa cianjur
87,amin
88,tinggi banget ai menyaingi
