,0
0,konsisten aktif memperjuangkan aturan hukum berkeadilan masyarakat
1,semangat indah
2,indonesia maju kemandirian politik negeri
3,selamat kabupaten lebak “umkm kuat ekonomi meningkat”
4,suhar endang ws teruslah ditengahtengah masyarakat masyarakat cintailah masyarakat tulus insya allah kader partai demokrat senantiasa dicintai mencintai masyarakat
5,semangat pagi selamat beraktifitas semoga kebaikan
6,bersinergi membantu
7,ahy kader demokrat konsisten memenuhi harapan rakyat
8,ahy figur muda calon pemimpin menandakan harapan bangsa generasi muda memiliki semangat juang tinggi
9,ganteng cerdas sopan keren berwibawa
10,alhamdulillah kemenangan mantapd cc
11,selamat hut al jamiyatul washliyah november merawat persatuan membangun moral bangsa jayalah al washliyah zaman berzaman
12,muda kekuatan tokoh perubahan
13,harapan rakyat perjuangan insyaallah mas raih kemenangan pemilu
14,kuat bersatu bangkit
15,kader partai demokrat konsisten perjuangan memenuhi harapan rakyat partai demokrat fokus memprioritaskan kesejahteraan masyarakat semangat ahy
16,kepda selruh kader partai demokrat konsisten dlam perjuangan memenuhi harapan rakyat dlu partai demokrat fokus memprioritaskan kesejahteraan masyarakat semangat ttap ad hingg
17,kehangatan dinginnya tikar pengungsian
18,milenial udah tua an th soekarno presiden usia th membedakan dibiasakan manja poposeolah muda dianggap anak ingusan milenial gibran usianya dibawa ahy pola fikir dewasa cerdas
19,milenial udah tua an th soekarno presiden usia th membedakan dibiasakan manja poposeolah muda dianggap anak ingusan milenial gibran usianya dibawa ahy pola fikir dewasa cerdas
20,tau ahy nggk prestasi
21,tau ahy nggk prestasi
22,tau ahy nggk prestasi
23,tau ahy nggk prestasi
24,partai demokrat selamat guru nasional november mari doakan semoga guru indonesia senantiasa kesehatan hidupnya sejahtera aamiin
25,selamat guru nasional jasa mu ai kenang
26,amor nooooo párate de
27,miliki wajah an kombinasi anies baswedan ahy mudah dijual
28,guru pahlawan tanda jasa senantiasa mengajar membimbing menuntun halhal kebaikan selamat guru nasional november “serentak berinovasi wujudkan merdeka belajar”
29,pamekasan benarbenar hebat sesuai jargonnya pamekasan hebat pelayanan rakyat prioritas mengaggap masyarakat raja
